SL.,Division,Name,Address
84,DHAKA,GP HOUSE ATM,"GP House (Level#01), Bashundhara, Baridhara, Dhaka"
85,DHAKA,GULSHAN AVE BRANCH ATM,"Z N Tower, Ground Floor, Plot # SW (I)-2, Road # 08, Gulshan-1, Dhaka."
86,DHAKA,GULSHAN CHEF?s TABLE CRM,"Chef?s Table, Gulshan Center Point, House: 23-26, Road: 90, Gulshan-2, (3rd Floor)
Dhaka-1212."
87,DHAKA,GULSHAN NORTH BRANCH ATM,"Kalpana House, 169 Gulshan North Avenue, Gulshan-2, Dhaka"
88,DHAKA,GULSHAN-2 ATM,"121/C Gulshan Avenue,Gulshan-02, Dhaka-1212"
89,CHATTOGRAM,HALISHAHAR BRANCH ATM,"House-01 (1st Floor), Road- 01 , Block- L, Halishahar Housing Estate, Chattogram"
90,CHATTOGRAM,HATHAZARI BRANCH ATM,"Haji Sultan Market, Hathazari Bus Stand, Hathazari, Chattogram"
91,DHAKA,HATIRPOOL ATM,"234 New Elephant Road, Khairunnesa Mansion, Dhaka 1205"
92,DHAKA,HEAD QUARTER ATM,"100 Gulshan Avenue, Dhaka-1212"
93,DHAKA,HEAD QUERTER ATM,"100 Gulshan Avenue, Dhaka-1212"
94,CHATTOGRAM,HOTEL SEA CROWN ATM,"Hotel Sea Crown, Marine Drive, Kolatoli New Beach, Kolatoli Cox?s Bazar"
95,DHAKA,ICT MINISTRY ATM,"ICT Division, Government of the People?s Republic of Bangladesh, Level-01, ICT Tower, Agargaon, Dhaka"
96,DHAKA,IDB BHABAN ATM,"IDB Bhaban, Rokeya Sharani, Shere-e-Bangla Nagar, Dhaka-1207."
97,DHAKA,INCEPTA PHARMA ATM,"Incepta Pharmaceuticals Ltd. 40 Shahid Tajuddin Ahmed Sarani, Tejgaon I/A, Dhaka-1208."
98,CHATTOGRAM,JAMAL KHAN BR ATM,"CPDL AM Majesta, 84 Jamal Khan, Chattogram -4000"
99,CHATTOGRAM,JAMAL KHAN CTG OFFSITE ATM,"EQUITY ANTARA, 123, Momin Road, Jamal Khan, Chattogram."
100,DHAKA,JASHIMUDDIN RD BRANCH ATM,"Plot-3 & 3/A, Sector-3, Uttara, Dhaka"
101,KHULNA,JASHORE BRANCH ATM,"Holding Number : 0852-00 , Ground Floor, Imesh Babu Lean, R.N road Jashore. Kotwali , Jashore-7400"
102,DHAKA,JFP HYPERMART ATM,"Jamuna Wholesale Club Ltd, Level: Basement-1, Jamuna Future Park Shopping Mall, Ka-244, Progati Sarani, Kuril, Baridhara, Dhaka-1229"
103,DHAKA,JOHNSON ROAD ATM,"41 Johnson Road ( Roy Saheb Bazar), Dhaka"
104,CHATTOGRAM,JUBILEE ROAD BRANCH ATM,"Mannan Bhaban (Ground Floor), 156 Nur Ahmed Sarak, Jubilee Road, Chattogram"
105,CHATTOGRAM,KALURGHAT ATM,"R&S Tower, C&B, B.F.I.D.C Road, Opposite of Fire Service, Kalurghat Heavy I/A, Chandgaon, Chattogram"
106,DHAKA,KAMAL ATATURK AVN ATM,"Borak Mehnur, 51/b, Kamal Ataturk Avenue, Banani, Dhaka: 1213"
107,DHAKA,KANCHPUR ATM,"Heaven House (BD) Ltd, Ground Floor, 96 Kanchpur, Shiddirgonj ,Narayanganj"
108,DHAKA,KARWAN BAZAR ATM,"Pragati Insurance Bhaban, Ground Floor, 20-21 Kawran Bazar, Dhaka -1215"
109,DHAKA,Kazi Nazrul Islm. Ave ATM,"Ali Bhaban, 92 Kazi Nazrul Islam Avenue, Kawran Bazar, Dhaka, 1215"
110,DHAKA,KAZIPARA ATM,"571 Abm Manson, Kazipara, Mirpur, Dhaka, 1216"
