SL.,Division,Name,Address
221,SYLHET,SYLHET CHOUHATTA BRANCH LOBBY ATM,"Firoz Centre, 891/KA,Chouhatta, Sylhet"
222,SYLHET,SYLHET UPASAHAR BR ATM,"Upashahar Gas Bhaban, Mehdi Bagh, Sylhet"
223,DHAKA,TAJMAHAL ROAD ATM,"12/9 Tajmahal Road, Block C, Mohammadpur, Dhaka-1207"
224,DHAKA,TANGAIL BRANCH ATM,"Rahman Center (1st Floor), 55 Victoria Road,? Tangail"
225,DHAKA,TEJGAON SUB-BRANCH ATM,"SHEIKH ABDUL MATIN COMPLEX, 189/A,East Nakhalpara, Tejgaon."
226,DHAKA,TONGI 2ND ATM,"Senakalyan Commercial Complex, Ground Floor, Tongi, Gazipur"
227,DHAKA,TONGI ATM,"Senakalyan Commercial Complex, Ground Floor, Tongi, Gazipur"
228,DHAKA,TONGI BAZAR SUB-BRANCH ATM,"KUTUB COMPLEX, Holding No. 66, Anarkoli Road, Tongi Voran, Gazipur."
229,DHAKA,UDAY TOWER ATM,"Uday Tower (Ground Floor),Plot No. 57 & 57A, Gulshan Avenue (South) Circle-1, Dhaka-1212"
230,DHAKA,UTTARA BR CRM,"House 1, Road 5, Sector 4, Uttara, Dhaka"
231,DHAKA,UTTARA G-E-NEWAZ BR ATM,"Plot No. 15 (1st Floor), Garib-E-Newaz Avenue, Sector-11,? Uttara, Dhaka-1230"
232,DHAKA,UTTARA L DRIVE ATM,"House-15, Sector-07, Lake Drive Road, Uttara, Dhaka-1230"
233,DHAKA,UTTARA LAKE DRIVE 2nd ATM,"House # 15, Sector # 07, Lake Drive Road, Uttara, Dhaka-1230"
234,DHAKA,UTTARA SEC-3 ATM,"House-18, Road-16, Jasimuddin Avenue, Sector 3, Uttara, Dhaka-1212"
235,DHAKA,UTTARA SEC.7 2ND ATM,"9 Sonargaon Janapath Road, Sector- 7, Uttara"
236,DHAKA,UTTARA SEC.7 ATM,"9 Sonargaon Janapath Road, Sector-7, Uttara"
237,Dhaka,UTTARA SECTOR-12 ATM,"House: 11, Sector: 12, Sonargaon Janapath Road, Uttara, Dhaka-1230"
238,DHAKA,WARI ATM,"2/6 Nawab Street, Wari, Dhaka"
239,CHATTOGRAM,WASA MOOR ATM,"MOON PLAZA, 89, CDA Avenue, Wasa Moor, Chattogram."
240,DHAKA,WESTIN ATM,"The Westin Dhaka, Plot No. 1 CWN (B), Road No. 45, Gulshan-2, Dhaka-1212"
241,DHAKA,WORLD BANK ATM,"Plot E 32, Sher-e-Bangla Nagar, Agargaon, Dhaka, Bangladesh, Dhaka-1207"
242,CHATTOGRAM,YUNUSCO 2ND ATM,"Shop-21 (Ground Floor), Yunusco City Center, 567 CDA Avenue, Chattogram"
243,DHAKA,ZAKIR HOSSAIN ROAD ATM,"House-C-1, Block-E, Zakir Hossain Road, Mohammadpur, Dhaka."
244,SYLHET,ZINDA BAZAR ATM,"Blue Water Shopping City, Jollar Par Road, Zindabazar, Shylet"
