SL No,ATM Name,Address
26,Radisson Hotel ATM,"Radisson Water Garden Hotel, Airport Road, Dhaka Cantonment, Dhaka - 1206"
27,Kamal Ataturk Avenue FT-4 ATM,"Prashad  Trade Center, Holding - 6, Kamal Ataturk Avenue, Banani, Dhaka."
28,Kamal Ataturk Avenue FT-1 ATM,"Prashad  Trade Center, Holding - 6, Kamal Ataturk Avenue, Banani, Dhaka."
29,Kamal Ataturk Avenue FT-2 ATM,"Prashad  Trade Center, Holding - 6, Kamal Ataturk Avenue, Banani, Dhaka."
30,Banani Road-11 FT-4 ATM,"Ventura Iconia, Holding-37, Road-11, Block-H, Banani, Dhaka-1213."
1,Banasree-K Block FT - 1 ATM,"K-76, South Banasree, Dhaka - 1217"
2,Banasree-K Block FT - 2 ATM,"K-76, South Banasree, Dhaka - 1217"
3,Banasree FT - 1 ATM,"House # 2, Road # 6, Block # D, Banasree, Rampura, Dhaka - 1217"
4,Banasree FT - 2 ATM,"House # 2, Road # 6, Block # D, Banasree, Rampura, Dhaka - 1217"
5,Banasree FT - 3 ATM,"House # 2, Road # 6, Block # D, Banasree, Rampura, Dhaka - 1217"
6,Banasree FT - 6 ATM,"House # 2, Road # 6, Block # D, Banasree, Rampura, Dhaka - 1217"
7,Banasree-K Block FT - 3 ATM,"K-76, South Banasree, Dhaka - 1217"
8,Banasree-K Block FT - 4 ATM,"K-76, South Banasree, Dhaka - 1217"
9,Banasree Block # F FT - 2 ATM,"House - 1, Road - 5, Block - F, Banasree, Rampura, Dhaka ? 1219"
10,Banasree Block # F FT - 3 ATM,"House - 1, Road - 5, Block - F, Banasree, Rampura, Dhaka ? 1219"
11,Banasree Block # F FT - 4 ATM,"House - 1, Road - 5, Block - F, Banasree, Rampura, Dhaka ? 1219"
12,"Meradia FT-3, Dhaka ATM","Silver Star Building, Holding no. 9, Road No. Avenue 8, Ward - 3, Rampura, Dhaka."
13,"Meradia FT-1, Dhaka ATM","Silver Star Building, Holding no. 9, Road No. Avenue 8, Ward - 3, Rampura, Dhaka."
14,"Meradia FT-4, Dhaka ATM","Silver Star Building, Holding no. 9, Road No. Avenue 8, Ward - 3, Rampura, Dhaka."
15,"Meradia FT-5, Dhaka ATM","Silver Star Building, Holding no. 9, Road No. Avenue 8, Ward - 3, Rampura, Dhaka."
16,"Block - A, Banasree FT - 1 ATM","Mir Bari, House - 25, Road - 5, Block - A, Banasree, Dhaka"
17,"Block - A, Banasree FT - 2 ATM","Mir Bari, House - 25, Road - 5, Block - A, Banasree, Dhaka"
18,"Block - A, Banasree FT - 3 ATM","Mir Bari, House - 25, Road - 5, Block - A, Banasree, Dhaka"
19,Banasree Block # F FT - 1 ATM,"House - 1, Road - 5, Block - F, Banasree, Rampura, Dhaka ? 1219"
20,"Banasree-C Block FT -1, Dhaka ","House No. 01, Road No. 10, Block - C, Avenue Road, Rampura, Banasree, Dhaka"
21,"Banasree-C Block FT -2, Dhaka ","House No. 01, Road No. 10, Block - C, Avenue Road, Rampura, Banasree, Dhaka"
22,"Banasree-C Block FT -3, Dhaka ","House No. 01, Road No. 10, Block - C, Avenue Road, Rampura, Banasree, Dhaka"
23,Banasree Main Road FT-3 ATM,"Holding-B/1, Banasree Main Road, Rampura, Dhaka-1219."
24,Banasree Main Road FT-1 ATM,"Holding-B/1, Banasree Main Road, Rampura, Dhaka-1219."
25,Banasree Main Road FT-2 ATM,"Holding-B/1, Banasree Main Road, Rampura, Dhaka-1219."
1,Nababganj FT - 1 ATM,"Kashempur (Ground Floor of EBL), Nababganj, Dhaka"
2,Nababganj FT - 2 ATM,"Kashempur (Ground Floor of EBL), Nababganj, Dhaka"
3,Nababganj FT - 3 ATM,"Kashempur (Ground Floor of EBL), Nababganj, Dhaka"
4,"Baruakhali FT - 1, Nawabganj ATM","Baruakhali, Nawabganj, Dhaka"
5,"Baruakhali FT - 2, Nawabganj ATM","Baruakhali, Nawabganj, Dhaka"
6,"Baruakhali FT - 3, Nawabganj ATM","Baruakhali, Nawabganj, Dhaka"
7,Molashikanda FT-1 Nawabgnj,"Clara Complex, Molashikanda, (Opposite of Holycross school "
8,Molashikanda FT - 2 Nawabganj,"Clara Complex, Molashikanda, (Opposite of Holycross school "
9,Molashikanda FT-3 Nawabgn,"Clara Complex, Molashikanda, (Opposite of Holycross school "
10,"Komorganj Bazar FT-3, Nawabgan","Komorganj Bazar, Mouza: Komorganj, PS: Nawabganj, Dist: Dhaka."
11,Baruakhali FT-4 Nawabganj ATM,"Baruakhali, Nawabgonj, Dhaka."
12,"Komorganj Bazar FT-2, Nawabgan","Komorganj Bazar, Mouza: Komorganj, PS: Nawabganj, Dist: Dhaka."
13,"Gobindopur Bazar FT-1, Nawabga","Razzak Super Mansion, Gobindopur Bazar, Nawabgonj, Dhaka"
14,"Gobindopur Bazar FT-2, Nawabga","Razzak Super Mansion, Gobindopur Bazar, Nawabgonj, Dhaka"
15,"Gobindopur Bazar FT-3, Nawabga","Razzak Super Mansion, Gobindopur Bazar, Nawabgonj, Dhaka"
16,"Komorganj Bazar FT-1, Nawabgan","Komorganj Bazar, Mouza: Komorganj, PS: Nawabganj, Dist: Dhaka."
1,"Happy Rahman Plz-2, Dhaka ATM","Happy Rahman Plaza,25/26/27, Kazi Nazrul Islam Avenue, Banglamotor, Dhaka"
2,C R DUTTA RD FT-3 DHK,"91 Bir Uttam C.R. Dutta, Road, Banglamotor, Dhaka"
3,C R DUTTA RD FT-4 DHK,"91 Bir Uttam C.R. Dutta, Road, Banglamotor, Dhaka"
4,C R DUTTA RD FT-2 DHK,"91 Bir Uttam C.R. Dutta, Road, Banglamotor, Dhaka"
5,"Happy Rahman Plz-1, Dhaka ATM","Happy Rahman Plaza,25/26/27, Kazi Nazrul Islam Avenue, Banglamotor, Dhaka"
1,"Kazi Alauddin Road FT-4, Dhaka","56/57, Haji Mohammad Saifuddin Ahmed Milon Shopping Mall, Kazi Alauddin Road, Bangshal, Dhaka-1100."
2,Nazrul Islam Sarani FT-3 ATM,"57 Shahid Syed Nazrul Islam Sarani (North South Road), Bangshal, Dhaka-1100."
3,"Kazi Alauddin Road FT-2, Dhaka","56/57, Haji Mohammad Saifuddin Ahmed Milon Shopping Mall, Kazi Alauddin Road, Bangshal, Dhaka-1100."
4,Dholaikhal FT - 1 ATM,"31/1, Lalmohan Saha Street, Dholaikhal, Dhaka"
5,Dholaikhal FT - 2 ATM,"31/1, Lalmohan Saha Street, Dholaikhal, Dhaka"
6,Dholaikhal FT - 3 ATM,"31/1, Lalmohan Saha Street, Dholaikhal, Dhaka"
7,Dholaikhal FT - 4 ATM,"31/1, Lalmohan Saha Street, Dholaikhal, Dhaka"
8,Bangsal FT - 1 ATM,"Jakir Bhaban, 137/1, Ground Floor, Bangsal Road, Dhaka "
9,Bangsal FT - 2 ATM,"Jakir Bhaban, 137/1, Ground Floor, Bangsal Road, Dhaka "
10,Bangsal FT - 3 ATM,"Jakir Bhaban, 137/1, Ground Floor, Bangsal Road, Dhaka "
11,Bangsal FT - 4 ATM,"Jakir Bhaban, 137/1, Ground Floor, Bangsal Road, Dhaka "
12,Nazrul Islam Sarani FT-1 ATM,"57 Shahid Syed Nazrul Islam Sarani (North South Road), Bangshal, Dhaka-1100."
13,Nazrul Islam Sarani FT-2 ATM,"57 Shahid Syed Nazrul Islam Sarani (North South Road), Bangshal, Dhaka-1100."
14,"Kazi Alauddin Road FT-3, Dhaka","56/57, Haji Mohammad Saifuddin Ahmed Milon Shopping Mall, Kazi Alauddin Road, Bangshal, Dhaka-1100."
15,"Kazi Alauddin Road FT-5, Dhaka","56/57, Haji Mohammad Saifuddin Ahmed Milon Shopping Mall, Kazi Alauddin Road, Bangshal, Dhaka-1100."
